FID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
5261893	-12.7694	4.84725	-5.14164	0.526552	-4.76777	1.49065	-0.648573	-4.10258	-0.991661	-3.39106
3238295	-13.0629	4.17688	0.907209	1.81432	-1.44478	1.58637	2.0199	0.940303	2.64007	0.483203
3162248	-11.551	-0.571862	-1.98383	7.37681	9.03746	12.5176	-21.1776	19.0335	-1.82081	-6.00852
5956496	-12.9885	3.59808	-2.07064	5.47556	5.98173	0.672139	0.569754	-1.1071	0.849495	-4.43826
2198119	-12.9325	7.67358	-1.3749	-0.946827	0.463509	1.22916	0.34478	0.898695	-2.47324	0.279478
5659730	-11.21	5.98038	-4.61377	-4.32521	-6.76276	-0.270363	2.98988	0.345876	2.64959	0.784193
3658795	-11.8605	3.36993	-2.94896	0.100266	-4.24283	-0.283453	1.72997	-2.58209	0.450779	1.12544
2866906	-10.8498	4.04288	-0.782285	-2.48927	-4.18026	-0.467834	1.74123	-2.62511	0.510761	-0.0743208
4795019	-13.8806	4.34275	-2.44523	-2.48257	-6.29553	0.24677	-1.0255	-1.65614	1.6941	0.395808
2574047	-7.1078	1.59222	1.35994	-11.3933	-6.12642	-0.610025	3.25312	-1.11752	-4.61122	-4.50737
4157317	-10.4826	0.915245	1.62839	-1.65537	6.54535	-1.16965	-5.08042	1.10237	2.26877	-1.11882
2016664	-12.8704	5.88054	-1.21845	0.522242	-5.31146	-3.35135	2.5273	-1.22205	-2.40911	4.77217
4131744	-13.089	4.37474	-5.46062	-1.85797	-8.28926	-1.1482	-4.01914	4.90952	3.49813	-1.8096
3537017	-15.173	2.0738	-2.1146	6.75674	21.1918	-4.20695	-0.280672	2.66055	-0.940162	-1.69206
3291941	-15.3025	3.39059	-3.95395	7.24472	12.0249	-1.93765	0.862691	2.35889	4.68116	-3.97434
1392718	-10.8445	3.34876	-4.21547	0.597969	-1.51341	0.888304	-0.257942	0.392415	3.13403	0.365966
3507945	-12.2017	3.01445	-2.22795	1.84543	-7.40515	-2.38196	-3.4177	0.351958	3.35066	0.930427
1328798	-11.9979	3.96683	0.226342	0.759444	-5.21204	0.263693	1.71648	-1.61138	-1.25315	3.062
1134332	-11.5209	2.73088	0.10097	-0.850329	-7.90104	3.03556	-0.782379	-2.66589	0.793548	0.968314
3360581	-12.0748	5.12262	-2.25911	-4.49075	-7.56968	1.15563	0.00745894	-2.14088	2.90713	-3.48791
3370331	-12.3531	4.05157	1.65619	0.930406	1.74934	-2.18752	0.485236	-0.359045	0.436106	-0.465932
3579248	-11.279	2.44861	-3.00285	1.74745	0.354213	-1.76615	-0.336308	2.63197	0.827388	-3.73123
4574239	-14.7237	3.83356	-0.211499	0.776954	1.15602	-0.235159	1.12837	2.35492	-0.920655	2.86643
2444098	-13.1954	2.85381	-0.520182	0.935569	-3.143	-1.37411	-0.721383	0.812709	-3.29364	-0.192782
1023041	-12.88	3.85605	-2.33807	2.64548	-6.19446	0.368085	0.0261841	-0.692186	-1.42886	1.5512
